faq_id,question,answer,answer_html,category,faq_type,product_ids,category_ids
16,"What does ""general performance"" vs ""high performance"" vinyl mean?","General-performance (standard) vinyl is a durable, scratch-resistant film suited to most indoor and short/medium-term outdoor use. High-performance vinyl is engineered for longer outdoor durability, conformability over rivets and contours, and resistance to harsh weather - typically used for vehicle wraps and long-term outdoor signage.","<p>General-performance (standard) vinyl is a durable, scratch-resistant film suited to most indoor and short/medium-term outdoor use. High-performance vinyl is engineered for longer outdoor durability, conformability over rivets and contours, and resistance to harsh weather - typically used for vehicle wraps and long-term outdoor signage.</p>",Products,general,,
17,What design file formats can I upload?,"Visual Graphx accepts JPG, JPEG, GIF, PNG, EPS, AI, PDF and PSD files. You can also use the online design studio (Custom Design) or pick from pre-loaded templates (Browse Design).","<p>Visual Graphx accepts JPG, JPEG, GIF, PNG, EPS, AI, PDF and PSD files. You can also use the online design studio (Custom Design) or pick from pre-loaded templates (Browse Design).</p>",Products,general,,
18,Can I see pricing before my account is approved?,No. To see online pricing you must first be approved as a trade member. Visual Graphx does not sell directly to the public.,<p>No. To see online pricing you must first be approved as a trade member. Visual Graphx does not sell directly to the public.</p>,Pricing,general,,
19,How long does account approval take?,"Approval is normally within one business day or sooner. If you have not received a confirmation email, check your spam folder or contact admin@2ctmedia.com.","<p>Approval is normally within one business day or sooner. If you have not received a confirmation email, check your spam folder or contact admin@2ctmedia.com.</p>",Account,general,,
20,How do you ship orders?,Visual Graphx prints in Arizona and ships nationwide through standard shipping carriers. Once an order is delivered the system generates the final invoice. Express production is available on many products to speed up turnaround.,<p>Visual Graphx prints in Arizona and ships nationwide through standard shipping carriers. Once an order is delivered the system generates the final invoice. Express production is available on many products to speed up turnaround.</p>,Shipping,general,,
21,What are the standard turnaround times?,"Standard turnaround is typically 3-5 business days after artwork approval, depending on the product. Many products offer an Express Production upgrade for faster delivery. Confirm the exact turnaround on each product page before checkout.","<p>Standard turnaround is typically 3-5 business days after artwork approval, depending on the product. Many products offer an Express Production upgrade for faster delivery. Confirm the exact turnaround on each product page before checkout.</p>",Shipping,general,,
22,Does Visual Graphx offer design services?,Yes. Visual Graphx has an in-house design team for creative print design services. See the Services > Design category on the website to request design help.,<p>Yes. Visual Graphx has an in-house design team for creative print design services. See the Services > Design category on the website to request design help.</p>,Products,general,,
23,What materials/brands does Visual Graphx work with?,"Visual Graphx stocks materials from leading brands including 3M (IJ35c, 40c, V9500 wrap films), Avery Dennison (V4000, MPI 1405), Arlon, Orafol/Oracal, Ultraflex, Fisher Textiles and General Formulations.","<p>Visual Graphx stocks materials from leading brands including 3M (IJ35c, 40c, V9500 wrap films), Avery Dennison (V4000, MPI 1405), Arlon, Orafol/Oracal, Ultraflex, Fisher Textiles and General Formulations.</p>",Products,general,,
24,Can I order custom sizes?,"Yes. Most products are available in both standard sizes and custom sizes with options like straight edges, custom contour cutting, kiss cutting, through cutting, weeding and masking.","<p>Yes. Most products are available in both standard sizes and custom sizes with options like straight edges, custom contour cutting, kiss cutting, through cutting, weeding and masking.</p>",Products,general,,
25,What is your privacy policy?,Visual Graphx protects all member registration data and personal information under their Privacy Policy. They use cookies and analytics partners (such as Microsoft Clarity and Microsoft Advertising) to understand site usage. Read the full policy at visualgraphx.com/privacy-policy.html.,<p>Visual Graphx protects all member registration data and personal information under their Privacy Policy. They use cookies and analytics partners (such as Microsoft Clarity and Microsoft Advertising) to understand site usage. Read the full policy at visualgraphx.com/privacy-policy.html.</p>,General,general,,
26,Do you send SMS notifications?,Yes. By using Visual Graphx services you agree to receive informational SMS messages such as appointment reminders and account notifications. Message and data rates may apply. Reply STOP to opt out or HELP for help.,<p>Yes. By using Visual Graphx services you agree to receive informational SMS messages such as appointment reminders and account notifications. Message and data rates may apply. Reply STOP to opt out or HELP for help.</p>,General,general,,
